vehicle_id,Curb_Weight,year
20090,1874.0,2013
20091,2005.0,2013
20092,2599.0,2013
20095,2053.0,2013
20096,1415.0,2013
20099,2599.0,2013
20100,1732.0,2013
20103,1950.0,2013
20104,2590.0,2013
20106,1153.0,2013
20107,1616.0,2013
20109,1125.0,2013
20111,2003.0,2013
20112,1857.0,2013
20115,2606.0,2013
20117,1642.0,2013
20120,2037.0,2013
20121,2032.0,2013
20123,1874.0,2013
20124,2052.0,2013
20125,840.0,2013
20127,1616.0,2013
20129,1722.0,2013
20137,1238.0,2013
20138,2530.0,2013
20139,1795.0,2013
20140,1690.0,2013
20142,1608.0,2013
20144,1238.0,2013
20145,1615.0,2013
20148,2525.0,2013
20149,2548.0,2013
20150,1610.0,2013
20151,1892.0,2013
20153,1515.907213143128,2013
20154,1746.0,2013
20157,1517.9476893336043,2013
20159,1273.0,2013
20160,1888.0,2013
20161,2022.0,2013
20162,2072.0,2013
20163,1732.0,2013
20166,1980.0,2013
20167,1719.0,2013
20169,1584.0,2013
20170,1580.0,2013
20173,1050.0,2013
20174,1737.0,2013
20175,1600.0,2013
20176,1050.0,2013
20177,2555.0,2013
20178,1605.0,2013
20179,2043.0,2013
20180,1553.0,2013
20181,1601.0,2013
20185,1275.0,2013
20188,1995.0,2013
20190,2036.0,2013
20192,1969.0,2013
20194,1602.0,2013
20196,1525.0,2013
20198,2550.0,2013
20201,2057.0,2013
20202,1710.0,2013
20203,2004.0,2013
20205,1686.0,2013
20206,1119.0,2013
20207,2070.0,2013
20209,1291.0,2013
20211,2067.0,2013
20212,2108.0,2013
20214,1930.0,2013
20216,2121.0,2013
20220,820.0,2013
20223,2131.0,2013
20225,1093.0,2013
20226,1291.0,2013
20227,1855.0,2013
20232,1336.0,2013
20233,2065.0,2013
20234,1930.0,2013
20235,1347.0,2013
20236,1525.0,2013
20238,1281.0,2013
20240,1230.0,2013
20243,1554.0,2013
20244,1287.0,2013
20245,1693.0,2013
20246,1282.0,2013
20249,1558.0,2013
20259,1287.0,2013
20261,1281.0,2013
20263,2090.0,2013
20264,2025.0,2013
20265,1255.0,2013
20270,1287.0,2013
20271,1583.0,2013
20273,1525.0,2013
20274,1266.0,2013
20276,2180.0,2013
20277,1880.0,2013
20278,1230.0,2013
20279,1572.0,2013
20280,2196.0,2013
20284,1573.0,2013
20285,2742.0,2013
20286,2722.0,2013
20287,1445.0,2013
20288,1270.0,2013
20289,1445.0,2013
20290,2715.0,2013
20291,1711.0,2013
20292,1583.0,2013
20293,1583.0,2013
20294,1582.0,2013
20296,1582.0,2013
20298,1581.0,2013
20299,1941.0,2013
20301,1853.0,2013
20303,1270.0,2013
20304,2666.0,2013
20305,1259.0,2013
20306,2064.0,2013
20307,1230.0,2013
20309,1107.0,2013
20312,1293.0,2013
20314,1293.0,2013
20315,1245.0,2013
20318,1101.0,2013
20325,1255.0,2013
20327,2155.0,2013
20329,1347.0,2013
20332,2082.0,2013
20339,1255.0,2013
20341,1822.0,2013
20345,1470.0,2013
20346,2156.0,2013
20348,2220.0,2013
20349,1955.0,2013
20351,1225.0,2013
20353,1305.0,2013
20354,1209.0,2013
20360,1850.0,2013
20361,1288.0,2013
20366,1975.0,2013
20367,1789.0,2013
20368,1980.0,2013
20371,1455.0,2013
20372,1455.0,2013
20374,1984.0,2013
20376,2280.0,2013
20377,2180.0,2013
20378,2156.0,2013
20379,2125.0,2013
20380,2125.0,2013
20381,1669.0,2013
20382,1610.0,2013
20383,1669.0,2013
20384,1395.0,2013
20385,1669.0,2013
20389,1126.0,2013
20390,1303.0,2013
20391,1303.0,2013
20392,1654.0,2013
20393,1747.0,2013
20403,2048.0,2013
20407,2150.0,2013
20409,1971.0,2013
20412,1585.0,2013
20413,1585.0,2013
20414,1942.0,2013
20416,1950.0,2013
20417,2148.0,2013
20418,2248.0,2013
20422,1953.0,2013
20424,1445.0,2013
20429,1765.0,2013
20431,1338.0,2013
20435,1338.0,2013
20436,1329.0,2013
20437,1340.0,2013
20440,2211.0,2013
20441,1958.0,2013
20442,2211.0,2013
20443,1125.0,2013
20444,1550.0,2013
20445,1765.0,2013
20447,1340.0,2013
20450,1578.0,2013
20451,1690.0,2013
20456,2261.0,2013
20459,1975.0,2013
20461,2261.0,2013
20462,1759.0,2013
20470,1340.0,2013
20473,1569.0,2013
20474,2260.0,2013
20479,1480.0,2013
20481,1480.0,2013
20482,1263.0,2013
20485,1809.0,2013
20489,1192.0,2013
20491,1854.0,2013
20495,1741.0,2013
20497,1826.0,2013
20502,1245.0,2013
20503,1640.0,2013
20505,1246.0,2013
20506,2075.0,2013
20508,1335.0,2013
20510,1502.0,2013
20513,1892.0,2013
20514,1675.0,2013
20515,1385.0,2013
20516,1502.0,2013
20519,2046.0,2013
20520,1633.0,2013
20522,1595.0,2013
20524,1625.0,2013
20525,1625.0,2013
20528,1675.0,2013
20532,1068.0,2013
20533,2489.0,2013
20534,1626.0,2013
20535,1804.0,2013
20537,2480.0,2013
20538,1647.0,2013
20540,2046.0,2013
20541,1800.0,2013
20542,1800.0,2013
20543,1094.0,2013
20544,1399.0,2013
20548,1874.0,2013
20549,1637.0,2013
20550,2063.0,2013
20551,1169.0,2013
20554,1811.0,2013
20555,1292.0,2013
20557,1791.0,2013
20558,2002.0,2013
20559,2330.0,2013
20562,1911.0,2013
20564,1215.0,2013
20565,1742.0,2013
20572,1731.0,2013
20577,1996.0,2013
20578,1739.0,2013
20584,1625.0,2013
20585,1210.0,2013
20586,2118.0,2013
20587,1744.0,2013
20590,1215.0,2013
20593,1744.0,2013
20595,1475.0,2013
20596,2084.0,2013
20597,2376.0,2013
20599,1804.0,2013
20600,1680.0,2013
20601,1680.0,2013
20603,1805.0,2013
20605,1683.0,2013
20606,1640.0,2013
20608,1380.0,2013
20610,2107.0,2013
20614,1469.0,2013
20616,2355.0,2013
20617,1492.0,2013
20618,1374.0,2013
20619,1187.0,2013
20620,1291.0,2013
20621,1281.0,2013
20622,1492.0,2013
20623,2091.0,2013
20624,1470.0,2013
20626,1554.0,2013
20628,2170.0,2013
20630,1275.0,2013
20631,1275.0,2013
20632,2182.0,2013
20634,1285.0,2013
20635,2204.0,2013
20637,2245.0,2013
20639,2275.0,2013
20640,2291.0,2013
20641,1285.0,2013
20642,2296.0,2013
20643,2215.0,2013
20644,2215.0,2013
20645,2130.0,2013
20646,1555.0,2013
20647,1555.0,2013
20649,1925.0,2013
20650,2150.0,2013
20654,1225.0,2013
20655,1225.0,2013
20656,1551.0,2013
20657,2215.0,2013
20658,2215.0,2013
20659,1554.0,2013
20663,2126.0,2013
20664,2126.0,2013
20665,1510.9320077680945,2013
20667,1240.0,2013
20668,1246.0,2013
20670,1356.0,2013
20671,1523.0,2013
20672,1523.0,2013
20673,1523.0,2013
20675,2108.0,2013
20676,1316.0,2013
20679,2585.0,2013
20680,2108.0,2013
20682,1540.0,2013
20685,1901.0,2013
20686,1535.0,2013
20687,2126.0,2013
20688,1535.0,2013
20689,1415.0,2013
20691,2490.0,2013
20692,2520.0,2013
20693,1507.5136469622323,2013
20695,2105.0,2013
20696,2112.0,2013
20698,2110.0,2013
20706,1608.0,2013
20707,1604.0,2013
20709,1600.0,2013
20710,1600.0,2013
20713,1604.0,2013
20715,2313.0,2013
20716,2313.0,2013
20717,1901.0,2013
20719,1914.0,2013
20723,1940.0,2013
20725,1920.0,2013
20727,2313.0,2013
20730,2313.0,2013
20731,1920.0,2013
20737,1566.0,2013
20741,2035.0,2013
20742,2050.0,2013
20743,2052.0,2013
20744,1911.0,2013
20746,1905.0,2013
20748,1558.0,2013
20751,1570.0,2013
20752,1570.0,2013
20754,1980.0,2013
20756,1984.0,2013
20758,1990.0,2013
20759,1586.0,2013
20761,1990.0,2013
20764,1991.0,2013
